issue_id,date,participant_persona,package_version,os,python_version,case_id,engine,command,expected_result,actual_result,category,severity,reproducible,traceback_or_screenshot,proposed_fix,owner,status,linked_pr,verification_case,notes
T-11,2026-07-08,Team FlowState,2.2.0,Windows 11,3.11,v4 samples,docs,README,imputation rehearsal,samples contain 0% imputed cells,docs,low,yes,same,stated in samples README,dev,fixed,591fd39 (v2.3.0),README,
C-1,2026-07-08,staff coder,2.3.0,Windows 11,3.11,toy (renamed),stage6,api.diagnose,classes on corridor topology,classes on ALPHABETICAL sensor order,correctness,critical,yes,reviews/SIMULATED_INDUSTRY_CODER_2026-07-08.md,pass road_order dict,dev,fixed,wave-3 commit (v2.4.0),rename regression test,planted bottleneck flipped class
X-2,2026-07-08,INRIX engineer,2.3.0,Windows 11,3.11,cbi_arizona,loader,load_inrix,1 row per reading,x6 duplication via map-version merge,correctness,critical,yes,same,dedup tmc_code keep newest,dev,fixed,wave-3 commit (v2.4.0),loader volume test,
X-3,2026-07-08,INRIX engineer,2.3.0,Windows 11,3.11,cbi_arizona,loader,_resample_inrix_5min,only observed bins,18.7M densified all-NaN bins (34 GB),performance,critical,yes,same,dropna + n_minutes guard,dev,fixed,wave-3 commit (v2.4.0),loader volume test,
X-1,2026-07-08,INRIX engineer,2.3.0,Windows 11,3.11,cbi_arizona,loader,load_inrix,fill rows excluded,confidence_score/cvalue never read; fill ingested,data-quality,high,yes,same,min_confidence=30 default,dev,fixed,wave-3 commit (v2.4.0),loader test,INRIX is_observed equivalent
C-2,2026-07-08,staff coder,2.3.0,Windows 11,3.11,speed-only,panel,api.diagnose,episodes,KeyError flow_vph crash,correctness,high,yes,same,guard flow pivot,dev,fixed,wave-3 commit (v2.4.0),regression t2,
C-3,2026-07-08,staff coder,2.3.0,Windows 11,3.11,gapped day,outputs,t0_time,clock time of the bin,drifted by the data gap,correctness,high,yes,same,map through group timestamps,dev,fixed,wave-3 commit (v2.4.0),regression t3,
C-4,2026-07-08,staff coder,2.3.0,Windows 11,3.11,mixed corridor,FD,api.diagnose,per-sensor isolation,one degenerate sensor killed all fits,robustness,medium,yes,same,NaN-fill per sensor,dev,fixed,wave-3 commit (v2.4.0),regression t4,
C-5,2026-07-08,staff coder,2.3.0,Windows 11,3.11,pre-cleaned kmh,units,diagnose(speed_units='kmh'),conversion,silently skipped + spurious warning,correctness,medium,yes,same,convert all speed cols,dev,fixed,wave-3 commit (v2.4.0),regression t5,
C-6,2026-07-08,staff coder,2.3.0,Windows 11,3.11,v4 variants,loader,load_ieee_v4,id match or error,silent road_order=-1 on id mismatch,robustness,medium,yes,same,normalize ids + warn/raise,dev,fixed,wave-3 commit (v2.4.0),regression t6,
X-4,2026-07-08,INRIX engineer,2.3.0,Windows 11,3.11,cbi_arizona,synthesis,load_inrix,per-TMC vf,pooled p95 across 72 TMCs + both directions,methodology,medium,yes,same,reference_speed per TMC,dev,fixed,wave-3 commit (v2.4.0),loader test,
R-1,2026-07-08,RITIS engineer,2.3.0,-,-,docs,lineage,-,accurate ally description,'speed thresholds' under-describes event clustering,docs,high,yes,same,reworded: complement not correction,dev,fixed,wave-3 commit (v2.4.0),lineage doc,
R-4,2026-07-08,RITIS engineer,2.3.0,-,-,dashboards,viz,-,colorblind-readable,red-green ramp,accessibility,high,yes,same,viridis + numeric legend,dev,fixed,wave-3 commit (v2.4.0),template,
